Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GEMM/4x4/linear,1.4258976231012594e-7,1.370483117476799e-7,1.4730692309032327e-7,1.6835405196781194e-8,1.4142433403772725e-8,1.9754419257342947e-8
GEMM/4x4/hmatrix,6.457714887681757e-7,6.299966963069524e-7,6.607994624335719e-7,5.116029255707787e-8,4.3069385575650725e-8,6.107789999528407e-8
GEMM/4x4/linear-massiv,3.4453333236796654e-5,3.333530550998885e-5,3.552483474779392e-5,3.5101747757388825e-6,2.9431584580836753e-6,4.550886572583822e-6
GEMM/10x10/hmatrix,2.327589758494695e-6,2.25901391464081e-6,2.398146239370543e-6,2.276600537782348e-7,1.924711084351922e-7,2.774327533289594e-7
GEMM/10x10/linear-massiv,6.775024746047154e-4,6.569451682566791e-4,7.02672577356777e-4,7.495723431585674e-5,5.771924955629502e-5,9.040033744408098e-5
GEMM/50x50/hmatrix,1.740104197869655e-4,1.6452630836920066e-4,1.8748801646220186e-4,4.016428958278651e-5,3.0126725160553963e-5,5.972957943484951e-5
GEMM/50x50/linear-massiv,5.498399363109011e-2,5.3133094002698604e-2,5.660920712757245e-2,3.47157757075028e-3,2.6492056052601796e-3,4.39782463017461e-3
GEMM/100x100/hmatrix,1.5340402842820109e-3,1.5024208001315044e-3,1.5750850452908795e-3,1.2067029434762845e-4,9.72880621876486e-5,1.5398013341997414e-4
GEMM/100x100/linear-massiv,0.5050917255527262,0.4956263070780551,0.5116368007002166,9.297781209855693e-3,2.7903198562612376e-3,1.2324883736818264e-2
GEMM/200x200/hmatrix,1.3783677485810443e-2,1.3414027479219024e-2,1.4292127950933188e-2,1.1297250580876127e-3,8.17961331401402e-4,1.591576991689196e-3
GEMM/200x200/linear-massiv,4.087877654468078,3.6011625105820713,4.870785443432396,0.7412377559492103,9.448987814745635e-2,0.9512689844921358
dot/4/linear,1.3078022345609282e-8,1.2792199418393761e-8,1.352866662204337e-8,1.227210281760156e-9,9.30821051874139e-10,1.5900112715279553e-9
dot/4/hmatrix,5.932826721256173e-7,5.810519010153588e-7,6.065225772124802e-7,4.593135381806767e-8,3.7174879386670214e-8,5.9565650972095244e-8
dot/4/linear-massiv,1.6746429084846282e-6,1.6346900454773765e-6,1.7172472662615928e-6,1.3242560894631278e-7,1.1087798783126739e-7,1.6011793633710242e-7
dot/100/hmatrix,7.494430555742271e-7,7.360235890459237e-7,7.641250257894618e-7,4.665776955919255e-8,3.6449537424549424e-8,5.995136311382313e-8
dot/100/linear-massiv,3.4149024035096695e-5,3.364788523549125e-5,3.502507657914342e-5,2.086561668333804e-6,1.3283737659633806e-6,3.49730038130696e-6
dot/1000/hmatrix,2.809919997800611e-6,2.705673369193879e-6,2.922771207506165e-6,3.818458087389141e-7,3.4386611061030576e-7,4.4506374478695694e-7
dot/1000/linear-massiv,3.7946161837871666e-4,3.616495611452005e-4,3.9915295146304757e-4,6.0027573173341824e-5,4.8771328063433974e-5,6.928636227534958e-5
matvec/4/linear,4.182886106028573e-8,4.033313331034243e-8,4.349751229500175e-8,5.352394313042185e-9,4.431763722077907e-9,6.938073429289525e-9
matvec/4/hmatrix,8.145397193716618e-7,7.576083497171996e-7,8.85536371281779e-7,2.1081506850494673e-7,1.813675357045332e-7,2.471542028721141e-7
matvec/4/linear-massiv,1.118221261307573e-5,1.0582828682132786e-5,1.201295494296438e-5,2.149832498046333e-6,1.6777343839337068e-6,2.6414376208474564e-6
matvec/50/hmatrix,3.7626715584706174e-6,3.699723056544309e-6,3.8594369903459575e-6,2.5180867755569517e-7,1.5213074522348565e-7,4.6379808948320796e-7
matvec/50/linear-massiv,1.2406749316736176e-3,1.2063611282454706e-3,1.2832506368844491e-3,1.2937441935378984e-4,9.79690163552726e-5,2.0823856914379228e-4
matvec/100/hmatrix,1.4100552524389613e-5,1.3847709825458223e-5,1.4483455519065993e-5,9.940785062178735e-7,7.60182717762852e-7,1.3940712415328454e-6
matvec/100/linear-massiv,4.712281267674576e-3,4.593865828458968e-3,4.837801374939781e-3,3.7644729424728953e-4,3.23501304911562e-4,4.425292503808527e-4
luSolve/10x10/hmatrix,7.700270926886817e-6,7.430178939375723e-6,7.985840515302582e-6,9.357515597255731e-7,7.556810903287482e-7,1.2122020179965474e-6
luSolve/10x10/linear-massiv,2.803391091054105e-4,2.732243124564749e-4,2.889730805725638e-4,2.483688374515302e-5,2.1605116038941796e-5,2.8777657397790528e-5
luSolve/50x50/hmatrix,8.768899005358673e-5,8.572789434273186e-5,8.957588021181904e-5,6.433473446794183e-6,5.250077835017407e-6,7.852989691341065e-6
luSolve/50x50/linear-massiv,2.0437709125285163e-2,1.9623763296933636e-2,2.1703242140683216e-2,2.39705963478148e-3,1.7113682801025414e-3,3.7879799266031197e-3
luSolve/100x100/hmatrix,4.8514624771967436e-4,4.7632731720283997e-4,4.967629787139981e-4,3.385979739748357e-5,2.768900264556491e-5,4.3355234178018164e-5
luSolve/100x100/linear-massiv,0.1434321483750796,0.13886659133975035,0.15452328153892236,9.988273732191097e-3,2.353355222211479e-3,1.5333581743355355e-2
choleskySolve/10x10/hmatrix,6.083353198499434e-6,5.926486113817499e-6,6.235204792672024e-6,5.016705303495296e-7,4.3582318236065874e-7,5.810827615032573e-7
choleskySolve/10x10/linear-massiv,2.368325096435233e-4,2.3078693137698825e-4,2.4324426415294105e-4,2.292888663328859e-5,1.9141682924201997e-5,2.936371777611531e-5
choleskySolve/50x50/hmatrix,6.434064956451337e-5,6.263779151500972e-5,6.591813367734887e-5,5.458349470173142e-6,4.8769159433816245e-6,6.333633745117631e-6
choleskySolve/50x50/linear-massiv,1.2919546652235117e-2,1.246677731558053e-2,1.3316827954277603e-2,1.0928023472013097e-3,8.616164460842677e-4,1.4052699331689655e-3
choleskySolve/100x100/hmatrix,4.1764373248332116e-4,4.000019126041783e-4,4.389776070053081e-4,6.402764255761778e-5,5.226003388653983e-5,7.527154689305133e-5
choleskySolve/100x100/linear-massiv,0.10038845480280183,9.657262031978461e-2,0.1096903883470481,9.328361058046368e-3,2.586270216708644e-3,1.4806593830393521e-2
QR/10x10/hmatrix,2.1689920453190018e-4,2.115694397324524e-4,2.2478365479330128e-4,2.080408718850921e-5,1.5838296395144058e-5,2.9154118294782233e-5
QR/10x10/linear-massiv,1.1059081548566163e-2,1.085529430493738e-2,1.1286115303737253e-2,6.096386772584632e-4,4.7155622626867685e-4,7.991362960440582e-4
QR/50x50/hmatrix,1.8361113152192157e-2,1.7905419364086392e-2,1.918467564406858e-2,1.4404384920994424e-3,9.498199772406907e-4,2.2970521614876726e-3
QR/50x50/linear-massiv,7.013695684659372,6.444113208985073,7.8317085301726665,0.7754302757055981,3.308284707740461e-2,0.9611012966540469
QR/100x100/hmatrix,0.2143682290234008,0.19658135527958318,0.2311384871925434,2.5035659747132444e-2,1.675301993625939e-2,3.256619943107237e-2
